index,song_id,valence_mean,arousal_mean
0,2,3.1,3.0
1,3,3.5,3.3
2,4,5.7,5.5
3,5,4.4,5.3
4,7,5.8,6.4
5,8,3.2,4.8
6,10,4.0,4.7
7,12,5.5,5.8
8,13,3.2,4.0
9,17,4.4,6.0
10,18,4.8,3.9
11,19,5.9,4.3
12,20,5.4,6.5
13,21,6.6,6.3
14,22,4.0,4.8
15,24,5.3,3.9
16,25,7.9,4.7
17,31,4.7,3.8
18,32,4.2,3.3
19,35,4.8,6.5
20,37,6.6,5.3
21,39,7.3,5.4
22,40,4.6,4.8
23,41,4.3,5.1
24,42,6.1,5.1
25,43,6.7,3.5
26,44,3.9,4.9
27,45,5.1,2.1
28,46,5.3,4.0
29,47,4.4,4.4
30,48,4.5,4.8
31,49,3.9,5.3
32,50,3.6,4.8
33,51,3.6,3.2
34,52,4.6,5.1
35,53,4.3,5.1
36,54,3.1,3.3
37,55,5.8,5.4
38,56,6.4,5.8
39,58,3.3,3.4
40,59,5.3,4.1
41,60,4.3,6.4
42,62,6.2,3.9
43,64,3.6,4.9
44,65,6.4,5.8
45,67,7.2,6.8
46,68,3.8,4.9
47,69,3.2,3.9
48,70,4.4,3.6
49,71,5.9,3.7
50,72,6.7,5.6
51,73,5.8,5.6
52,74,3.0,4.3
53,76,4.3,3.2
54,77,4.2,2.9
55,78,3.4,3.9
56,79,5.5,5.5
57,80,6.0,5.1
58,81,6.1,3.9
59,82,2.9,3.5
60,83,6.1,5.8
61,84,5.9,5.6
62,85,7.1,6.2
63,86,5.4,5.6
64,87,5.3,2.6
65,88,6.7,5.5
66,89,4.5,4.8
67,90,4.3,4.2
68,91,4.5,5.5
69,92,5.8,4.7
70,93,7.2,6.0
71,95,3.3,4.6
72,96,6.8,6.9
73,98,4.3,2.7
74,99,4.3,4.1
75,101,3.4,2.8
76,102,6.5,5.4
77,103,5.6,3.3
78,104,6.1,3.3
79,105,6.5,5.0
80,106,4.6,3.3
81,107,6.0,4.8
82,108,4.5,4.2
83,109,4.4,4.5
84,110,4.4,2.8
85,111,5.3,5.3
86,112,6.8,6.4
87,113,5.4,3.8
88,114,4.8,5.7
89,115,8.4,7.8
90,116,4.4,3.9
91,117,3.9,5.0
92,118,4.9,4.6
93,119,4.3,3.2
94,120,3.8,5.0
95,121,3.1,3.9
96,122,5.5,4.6
97,123,6.1,6.2
98,124,3.7,2.8
99,125,4.5,4.2
100,126,5.1,6.1
101,127,3.0,5.3
102,128,3.6,4.0
103,129,4.2,6.0
104,130,3.3,4.2
105,131,6.1,4.9
106,133,2.8,2.2
107,134,5.4,6.0
108,135,3.7,3.5
109,136,6.8,6.2
110,137,4.3,5.8
111,138,3.8,2.4
112,140,4.2,4.5
113,142,4.6,4.8
114,143,4.0,4.9
115,144,3.4,4.7
116,145,3.1,5.4
117,146,2.4,3.5
118,148,4.7,5.0
119,149,3.4,3.1
120,150,5.0,5.4
121,151,4.0,4.5
122,152,4.4,5.6
123,153,3.9,4.5
124,154,4.2,4.1
125,155,3.6,5.4
126,156,6.4,6.7
127,157,4.0,6.2
128,158,2.1,3.6
129,159,3.8,3.1
130,160,3.5,3.5
131,161,6.3,3.5
132,162,3.7,4.6
133,163,3.6,4.5
134,164,4.1,2.9
135,166,3.1,4.2
136,167,2.7,3.3
137,168,3.3,3.4
138,169,2.4,2.8
139,170,3.0,5.0
140,171,2.1,3.6
141,172,3.8,5.0
142,173,4.6,2.2
143,174,4.0,3.8
144,175,3.7,4.3
145,176,2.4,3.9
146,177,4.8,5.6
147,178,2.8,3.7
148,179,5.2,6.0
149,180,4.8,5.9
150,181,3.7,2.5
151,182,2.2,3.7
152,184,3.6,3.4
153,185,4.9,4.6
154,186,3.7,4.0
155,187,2.5,3.7
156,188,4.0,3.3
157,189,6.5,7.1
158,190,2.8,3.1
159,191,5.1,6.3
160,192,5.8,6.1
161,193,4.1,3.0
162,194,2.7,4.7
163,195,4.2,2.7
164,196,4.3,4.5
165,197,2.2,2.8
166,198,1.9,3.3
167,199,5.3,5.7
168,201,3.7,4.8
169,202,4.6,5.2
170,203,3.5,4.8
171,204,3.6,2.2
172,205,3.0,4.5
173,206,2.3,2.6
174,207,4.8,4.8
175,208,4.8,6.5
176,209,3.1,4.6
177,210,4.2,5.5
178,211,3.1,4.9
179,212,4.6,5.4
180,213,2.6,2.5
181,214,3.6,4.1
182,215,3.2,2.6
183,216,4.5,5.3
184,217,3.5,4.8
185,218,2.9,4.0
186,219,2.4,3.8
187,220,4.1,3.4
188,221,4.3,3.4
189,222,3.8,4.3
190,223,2.2,3.5
191,224,5.5,5.7
192,225,3.7,4.2
193,226,4.9,5.0
194,227,3.1,3.5
195,228,3.5,4.0
196,229,4.8,4.8
197,231,4.1,5.6
198,232,2.5,2.7
199,233,4.7,4.5
200,234,3.5,3.9
201,235,3.0,3.7
202,236,2.5,2.4
203,237,4.2,3.9
204,238,3.0,4.6
205,239,2.3,3.3
206,240,6.4,6.6
207,241,4.1,4.6
208,242,3.5,4.7
209,243,7.2,4.1
210,244,4.3,4.2
211,245,4.2,6.1
212,246,4.9,3.2
213,247,3.9,4.5
214,248,3.4,3.7
215,250,3.4,3.6
216,253,6.6,2.5
217,254,5.3,7.4
218,257,7.6,6.9
219,258,4.3,4.3
220,260,5.3,3.6
221,262,5.6,6.9
222,264,5.3,5.5
223,265,4.5,6.4
224,266,3.6,4.8
225,269,4.3,4.8
226,270,6.1,7.1
227,272,5.9,6.4
228,273,5.4,7.2
229,274,7.7,6.0
230,275,5.3,5.5
231,276,6.1,5.3
232,278,5.5,5.1
233,279,3.6,4.7
234,280,4.2,3.3
235,281,5.4,7.0
236,282,3.2,4.2
237,284,4.4,5.2
238,285,3.5,5.1
239,286,5.7,6.9
240,288,3.5,5.2
241,289,5.7,6.7
242,290,2.1,3.9
243,292,7.3,7.4
244,293,6.3,4.2
245,294,5.5,6.5
246,296,5.9,5.7
247,297,3.1,3.6
248,298,4.0,5.4
249,299,2.8,4.3
250,300,6.8,4.5
251,301,3.2,3.7
252,302,6.6,7.0
253,303,7.0,6.4
254,304,3.8,4.6
255,305,6.4,6.8
256,306,5.7,6.7
257,307,6.1,6.8
258,308,4.3,6.6
259,309,5.3,5.8
260,310,2.1,2.7
261,311,5.8,6.9
262,312,4.6,5.8
263,313,3.6,5.3
264,314,5.8,5.9
265,315,6.4,7.5
266,316,2.8,3.5
267,317,6.1,4.3
268,318,5.9,5.9
269,319,4.5,6.6
270,320,7.4,6.6
271,321,7.3,6.0
272,322,6.1,7.6
273,323,4.82,5.73
274,324,3.3,4.7
275,325,5.5,5.4
276,326,5.4,7.2
277,327,6.0,7.1
278,328,5.2,4.2
279,329,3.3,4.2
280,330,5.9,3.1
281,332,5.5,6.9
282,333,6.7,6.1
283,334,5.9,5.9
284,335,6.8,6.8
285,336,6.1,6.6
286,338,3.0,3.8
287,339,5.9,6.9
288,340,3.8,4.6
289,341,3.8,4.4
290,342,4.0,5.1
291,343,7.0,8.1
292,344,4.6,5.2
293,345,7.2,6.5
294,346,6.7,7.3
295,347,3.82,5.82
296,348,5.0,5.7
297,349,4.6,5.8
298,350,6.0,6.5
299,352,5.5,4.5
300,353,4.0,4.8
301,354,7.1,6.4
302,355,5.1,6.5
303,356,4.6,5.6
304,357,4.8,6.5
305,358,5.6,4.2
306,359,2.5,3.7
307,360,2.5,5.5
308,361,2.55,3.36
309,362,4.0,5.9
310,364,5.5,6.5
311,365,6.0,7.1
312,366,6.9,6.1
313,367,3.1,2.7
314,368,4.8,6.1
315,369,2.9,3.4
316,370,3.8,3.4
317,371,5.2,6.6
318,372,3.6,4.8
319,374,7.0,4.9
320,375,1.9,2.8
321,376,5.0,5.9
322,378,5.5,5.9
323,379,1.9,2.9
324,380,5.6,4.8
325,381,6.0,6.7
326,383,4.2,3.6
327,384,3.6,4.1
328,386,5.0,5.5
329,387,6.2,6.2
330,390,5.7,6.2
331,391,5.5,6.1
332,392,3.4,4.8
333,393,6.0,6.4
334,395,6.7,6.2
335,397,7.0,7.0
336,399,6.7,7.0
337,400,5.1,5.6
338,401,5.5,6.4
339,402,7.1,7.1
340,403,5.1,5.2
341,404,6.9,6.8
342,405,6.1,7.4
343,406,5.3,4.3
344,407,4.3,4.5
345,408,6.6,6.1
346,410,3.8,5.1
347,415,6.0,5.2
348,416,5.5,5.2
349,419,3.3,4.0
350,420,4.5,5.4
351,422,2.8,3.7
352,423,5.2,4.5
353,425,7.1,6.8
354,426,5.3,5.3
355,427,5.2,5.8
356,428,6.6,6.6
357,429,3.3,4.3
358,430,4.0,2.9
359,431,6.1,5.5
360,432,5.3,5.3
361,435,4.5,5.9
362,436,4.3,5.2
363,437,5.2,4.3
364,440,5.3,6.3
365,441,4.6,5.1
366,442,4.1,4.5
367,444,2.3,2.5
368,445,2.4,4.6
369,448,6.7,6.5
370,449,3.6,3.8
371,450,4.1,5.0
372,451,4.9,4.4
373,452,5.45,6.75
374,453,4.6,5.6
375,454,5.0,4.8
376,455,5.4,5.7
377,456,6.1,2.3
378,458,3.4,5.0
379,459,6.3,6.1
380,460,3.8,3.8
381,461,4.8,4.4
382,462,5.8,4.6
383,463,5.0,5.7
384,464,5.1,5.6
385,466,6.6,5.9
386,467,5.7,6.8
387,468,3.6,3.4
388,469,5.1,5.3
389,472,6.5,5.2
390,473,7.1,5.5
391,475,5.6,5.0
392,477,7.1,7.2
393,478,2.8,3.2
394,479,4.5,5.7
395,480,2.7,4.1
396,481,3.4,4.7
397,482,1.9,3.5
398,484,6.4,6.5
399,485,2.6,3.7
400,486,6.2,5.7
401,487,4.5,5.3
402,488,1.6,3.4
403,489,4.6,5.2
404,490,3.9,3.7
405,492,4.4,4.8
406,493,3.7,4.9
407,494,3.7,4.1
408,496,4.7,5.9
409,497,6.2,5.7
410,498,2.9,2.8
411,499,3.6,3.6
412,500,6.0,5.2
413,501,2.5,4.4
414,502,4.8,4.6
415,503,5.8,6.4
416,504,4.8,4.0
417,506,2.9,4.1
418,507,4.9,4.8
419,512,5.1,5.4
420,513,3.1,4.2
421,514,4.3,5.8
422,515,3.8,3.4
423,518,4.1,3.4
424,519,6.8,5.3
425,520,4.0,5.5
426,521,3.8,4.6
427,522,3.5,2.7
428,523,5.1,5.9
429,524,3.3,4.0
430,525,4.3,4.8
431,527,4.0,5.7
432,529,4.7,5.8
433,530,3.3,3.5
434,535,6.1,6.5
435,536,5.1,4.5
436,537,5.0,2.6
437,540,4.1,4.4
438,544,4.8,4.5
439,547,3.4,4.8
440,550,4.2,5.9
441,551,3.2,4.0
442,554,2.8,5.0
443,555,5.2,4.8
444,556,5.6,6.1
445,558,2.8,3.2
446,560,2.9,4.6
447,561,6.9,7.0
448,564,4.7,4.9
449,565,3.1,3.0
450,568,5.4,3.1
451,574,4.5,4.8
452,577,5.6,5.5
453,579,3.1,3.2
454,580,2.4,4.4
455,581,5.3,6.0
456,582,3.1,4.9
457,584,2.5,2.4
458,585,4.0,4.2
459,586,5.2,5.9
460,591,5.7,6.2
461,592,5.45,5.09
462,594,4.2,3.1
463,597,4.8,6.4
464,598,4.0,5.6
465,600,3.5,4.0
466,605,4.4,6.0
467,606,4.1,5.6
468,607,4.4,6.1
469,608,2.9,3.8
470,609,5.3,5.55
471,610,6.3,6.5
472,611,5.1,4.8
473,612,5.6,6.6
474,613,5.2,6.8
475,614,4.3,3.7
476,615,3.2,5.0
477,616,3.5,5.0
478,617,6.5,3.0
479,620,5.8,4.4
480,621,2.9,4.4
481,622,4.5,5.0
482,623,3.8,5.9
483,625,3.1,4.4
484,628,4.9,6.8
485,629,7.4,7.6
486,631,7.6,3.1
487,632,4.2,5.4
488,634,4.7,5.8
489,635,6.6,7.6
490,637,2.2,3.6
491,638,3.2,4.4
492,639,6.1,6.3
493,640,7.6,7.8
494,643,3.5,4.2
495,644,4.3,5.6
496,645,4.6,5.7
497,646,3.1,3.8
498,647,3.0,5.8
499,648,5.1,6.8
500,649,6.2,6.7
501,650,6.0,4.2
502,651,6.4,7.1
503,652,3.2,4.3
504,653,5.3,6.5
505,654,5.1,4.4
506,656,2.6,4.1
507,657,5.1,5.6
508,658,4.4,5.7
509,660,2.1,2.8
510,661,2.2,2.8
511,662,5.9,5.1
512,663,3.3,4.3
513,664,7.0,6.6
514,665,5.7,6.2
515,666,5.3,5.0
516,667,4.2,4.9
517,668,5.0,5.3
518,671,3.1,3.7
519,672,4.4,6.3
520,673,6.6,6.7
521,674,6.8,7.4
522,675,5.1,5.8
523,676,6.6,6.6
524,677,6.5,5.3
525,681,4.9,6.6
526,682,4.8,6.0
527,684,4.3,4.9
528,685,4.5,3.6
529,686,3.4,5.5
530,687,7.3,7.4
531,688,4.3,5.0
532,689,3.8,4.6
533,690,2.4,4.4
534,691,5.0,3.7
535,692,6.9,6.1
536,693,6.2,5.3
537,695,5.9,6.2
538,696,5.3,5.8
539,697,4.8,5.8
540,698,3.9,3.7
541,699,3.7,4.5
542,700,4.8,5.6
543,702,7.5,3.3
544,703,5.1,6.0
545,704,4.1,4.2
546,706,5.5,6.0
547,707,3.2,3.1
548,708,3.2,3.2
549,709,5.8,5.0
550,710,5.4,5.1
551,711,2.9,3.1
552,712,3.4,5.3
553,713,4.9,6.3
554,714,4.4,4.8
555,715,2.9,4.3
556,717,4.5,4.9
557,718,5.9,6.5
558,719,7.1,7.2
559,721,5.7,5.5
560,722,5.7,7.0
561,723,6.5,7.2
562,724,6.0,6.1
563,725,5.1,5.1
564,726,7.0,3.6
565,727,4.3,4.5
566,728,6.9,7.5
567,729,6.4,3.5
568,730,3.7,4.5
569,731,7.3,5.8
570,732,5.6,6.3
571,733,4.3,5.0
572,734,5.7,6.3
573,735,4.3,4.9
574,736,2.7,3.7
575,737,4.1,4.9
576,738,5.5,6.2
577,739,6.2,6.9
578,740,3.7,4.0
579,741,4.6,4.4
580,742,6.1,6.5
581,743,3.1,5.0
582,744,6.1,5.5
583,745,4.2,1.6
584,746,3.7,4.6
585,747,3.6,4.9
586,748,5.1,4.4
587,749,4.2,4.9
588,750,5.3,5.7
589,756,5.9,6.8
590,757,6.0,6.1
591,758,4.8,5.9
592,759,6.7,5.9
593,763,3.5,5.5
594,764,6.3,7.5
595,767,5.2,6.5
596,769,6.2,5.0
597,773,4.5,4.7
598,775,3.7,4.4
599,776,3.5,4.5
600,777,6.2,5.1
601,779,2.8,5.3
602,780,5.8,6.2
603,781,4.9,6.3
604,782,7.2,4.7
605,784,4.7,5.7
606,787,6.1,6.3
607,789,3.9,5.2
608,790,7.2,5.4
609,791,2.7,4.6
610,794,2.5,4.2
611,795,2.2,3.5
612,796,5.2,5.1
613,797,4.9,5.4
614,798,6.5,5.9
615,799,4.1,5.6
616,800,4.5,4.5
617,801,3.3,3.5
618,804,6.9,6.8
619,805,2.2,3.5
620,806,6.4,6.6
621,807,4.8,6.5
622,808,3.1,4.3
623,810,6.5,6.6
624,811,4.1,4.9
625,813,6.2,6.7
626,814,6.1,5.3
627,815,5.5,5.9
628,818,5.9,6.8
629,819,4.0,5.7
630,820,6.4,6.4
631,823,4.8,4.8
632,824,7.2,7.0
633,825,4.1,5.7
634,826,4.0,4.7
635,829,2.3,4.5
636,830,5.3,5.9
637,831,5.2,6.2
638,833,5.0,5.8
639,834,4.7,4.3
640,836,7.1,5.7
641,839,5.7,4.4
642,841,4.2,4.7
643,844,3.8,3.4
644,845,5.1,4.0
645,846,6.0,5.5
646,848,2.2,2.7
647,850,3.6,3.1
648,851,5.0,4.4
649,852,4.5,4.7
650,854,2.9,3.8
651,855,2.9,4.5
652,856,6.7,5.6
653,857,4.9,5.3
654,858,4.4,4.5
655,859,3.6,5.1
656,860,6.6,6.7
657,863,6.4,7.0
658,864,5.7,5.9
659,865,2.8,4.6
660,866,5.8,5.1
661,867,5.8,6.5
662,869,2.6,4.1
663,871,6.4,6.0
664,872,3.4,5.5
665,873,6.8,7.0
666,874,6.3,4.4
667,876,6.3,6.7
668,879,5.6,6.0
669,880,4.9,3.8
670,882,5.3,5.2
671,884,5.5,5.0
672,886,5.9,5.4
673,887,5.1,5.6
674,889,6.9,7.2
675,890,3.6,4.7
676,891,3.4,5.5
677,892,3.9,2.9
678,893,7.3,3.3
679,897,4.9,4.3
680,898,6.4,5.5
681,899,5.3,6.3
682,902,7.0,3.3
683,903,5.9,5.6
684,904,5.7,4.2
685,908,5.5,4.9
686,909,6.0,5.5
687,910,7.0,6.6
688,911,7.1,4.0
689,913,4.8,3.3
690,915,5.0,5.2
691,921,5.9,6.1
692,924,5.4,6.2
693,925,4.9,5.7
694,926,4.0,5.5
695,928,5.0,4.0
696,931,6.3,6.5
697,932,4.5,4.9
698,934,6.2,6.4
699,936,5.4,4.7
700,938,7.3,4.2
701,939,6.2,2.7
702,941,7.2,5.9
703,942,4.8,4.1
704,944,7.1,6.5
705,945,2.3,2.8
706,949,5.7,6.1
707,952,4.2,3.7
708,954,5.1,5.5
709,955,3.8,5.6
710,956,4.5,5.4
711,957,2.8,4.7
712,958,5.5,5.1
713,959,6.2,6.4
714,960,7.7,7.7
715,961,5.6,5.5
716,962,7.4,3.4
717,964,7.6,7.0
718,967,2.8,4.4
719,968,3.8,3.2
720,970,6.6,6.6
721,973,6.5,4.6
722,974,4.1,4.2
723,976,6.2,5.9
724,977,7.3,3.5
725,978,7.7,6.1
726,979,3.1,5.5
727,980,5.8,4.3
728,981,6.7,6.6
729,983,4.8,6.3
730,985,3.9,6.1
731,986,5.8,4.5
732,987,6.3,3.6
733,988,5.4,5.9
734,989,6.3,6.4
735,990,6.0,6.1
736,991,3.1,3.5
737,993,4.4,3.8
738,994,6.6,5.3
739,995,4.7,2.4
740,996,6.0,6.7
741,997,6.4,6.7
742,999,4.1,5.9
743,1000,6.8,5.6
744,1001,4.4,3.8
745,1002,4.5,3.2
746,1003,5.3,3.3
747,1004,3.8,4.7
748,1005,5.4,5.1
749,1006,4.6,4.4
750,1007,5.2,5.4
751,1008,6.0,5.4
752,1009,3.5,3.7
753,1010,6.5,6.5
754,1011,4.5,3.0
755,1012,4.3,2.9
756,1013,3.2,3.5
757,1014,4.9,4.5
758,1015,5.9,6.3
759,1016,3.3,1.9
760,1017,4.1,3.8
761,1018,3.7,2.5
762,1019,4.3,2.8
763,1020,3.4,2.5
764,1021,6.2,4.8
765,1022,3.3,3.3
766,1023,2.9,2.3
767,1024,3.2,2.9
768,1025,5.1,6.1
769,1026,3.7,2.8
770,1027,4.6,3.8
771,1028,4.5,4.8
772,1029,3.9,4.5
773,1030,5.7,5.2
774,1031,4.8,5.0
775,1032,3.3,4.1
776,1033,5.3,5.6
777,1034,3.3,2.8
778,1035,4.3,4.2
779,1036,4.8,3.0
780,1037,5.0,4.4
781,1038,5.0,4.1
782,1039,6.3,4.6
783,1040,6.2,5.3
784,1041,5.6,5.4
785,1042,5.0,4.3
786,1043,4.9,5.0
787,1044,7.1,6.1
788,1045,4.4,3.1
789,1046,5.6,5.0
790,1047,5.3,4.4
791,1048,5.0,6.7
792,1049,5.3,6.7
793,1050,6.0,5.8
794,1051,5.2,5.3
795,1052,5.5,6.6
796,1053,4.5,6.3
797,1054,3.7,6.3
798,1055,3.7,6.3
799,1056,4.2,5.0
800,1057,4.7,7.1
801,1058,4.0,5.8
802,1059,4.7,7.5
803,1060,5.2,6.1
804,1061,6.5,6.2
805,1062,4.1,4.3
806,1063,5.2,6.4
807,1064,5.2,7.1
808,1065,6.0,6.4
809,1066,6.1,5.5
810,1067,4.0,3.4
811,1068,5.9,5.3
812,1069,4.3,5.6
813,1070,5.2,5.8
814,1071,6.5,5.3
815,1072,6.3,5.5
816,1073,5.2,3.8
817,1074,6.8,6.4
818,1075,6.4,6.6
819,1076,6.0,5.0
820,1077,6.4,4.8
821,1078,6.8,6.0
822,1079,6.9,5.6
823,1080,6.0,5.0
824,1081,5.0,3.5
825,1082,6.7,6.4
826,1083,6.1,6.6
827,1084,5.1,3.4
828,1085,6.1,5.2
829,1086,5.9,4.3
830,1087,6.0,6.4
831,1088,7.3,6.6
832,1089,6.4,6.6
833,1090,5.6,6.6
834,1091,5.7,5.8
835,1092,5.8,6.3
836,1093,5.8,6.0
837,1094,6.4,6.3
838,1095,6.2,6.2
839,1096,3.8,3.6
840,1097,5.5,5.4
841,1098,6.8,6.3
842,1099,5.7,5.9
843,1100,6.3,5.6
844,1101,3.7,2.4
845,1102,2.3,4.5
846,1103,3.6,3.5
847,1104,4.2,4.4
848,1105,3.8,3.7
849,1106,3.0,3.9
850,1107,3.0,3.2
851,1108,4.8,3.7
852,1109,4.2,2.4
853,1110,5.1,5.4
854,1111,3.2,2.9
855,1112,3.1,2.3
856,1113,3.4,3.0
857,1114,3.4,3.3
858,1115,4.4,3.9
859,1116,5.7,3.0
860,1117,4.2,3.4
861,1118,4.0,1.9
862,1119,3.4,2.1
863,1120,3.4,2.8
864,1121,3.9,2.3
865,1122,6.8,5.4
866,1123,3.1,3.1
867,1124,5.4,5.1
868,1125,4.9,3.0
869,1126,3.9,3.2
870,1127,3.4,3.0
871,1128,3.7,2.7
872,1129,3.5,2.4
873,1130,3.8,3.1
874,1131,4.5,3.4
875,1132,4.6,3.4
876,1133,5.0,2.4
877,1134,4.1,2.1
878,1135,3.1,2.7
879,1136,4.5,3.4
880,1137,4.3,4.2
881,1138,4.4,3.7
882,1139,5.1,2.5
883,1140,5.9,5.4
884,1141,4.5,3.6
885,1142,3.2,2.1
886,1143,3.8,5.1
887,1144,3.7,4.6
888,1145,4.7,2.4
889,1146,2.6,3.4
890,1147,4.6,3.6
891,1148,3.4,3.0
892,1149,4.0,2.6
893,1150,4.1,2.3
894,1151,5.0,5.6
895,1152,6.1,5.6
896,1153,3.9,2.5
897,1154,3.9,4.4
898,1155,4.2,4.3
899,1156,7.0,5.6
900,1157,6.9,6.1
901,1158,6.2,6.2
902,1159,5.8,6.0
903,1160,6.4,5.4
904,1161,4.1,2.5
905,1162,3.6,3.8
906,1163,6.2,5.3
907,1164,3.6,3.1
908,1165,3.5,2.8
909,1166,4.6,3.3
910,1167,3.6,2.8
911,1168,4.4,3.3
912,1169,3.9,2.8
913,1170,3.1,2.1
914,1171,3.6,1.9
915,1172,3.9,2.5
916,1173,4.3,4.0
917,1174,3.6,3.3
918,1175,3.7,3.4
919,1176,4.9,2.7
920,1177,5.2,3.3
921,1178,4.9,4.5
922,1179,3.4,4.1
923,1180,3.3,2.6
924,1181,3.7,4.4
925,1182,2.7,2.2
926,1183,3.7,3.2
927,1184,4.2,2.3
928,1185,6.2,4.8
929,1186,3.7,1.9
930,1187,4.4,4.1
931,1188,4.7,3.3
932,1189,4.8,3.2
933,1190,3.5,2.2
934,1191,4.4,2.6
935,1192,3.7,2.9
936,1193,4.4,3.9
937,1194,3.4,2.5
938,1195,4.2,4.0
939,1196,3.8,2.7
940,1197,3.9,2.8
941,1198,3.5,1.8
942,1199,4.5,3.5
943,1200,3.2,3.6
944,1201,6.0,5.5
945,1202,4.1,2.7
946,1203,4.0,3.4
